Hala-Muži-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
4,13:57.0,,2,Eliška Drahotová,95,USK Praha,Praha,12.2.2012
5,14:00.2,,1,Barbora Dibelková,83,USK Praha,Praha,23.2.2002
6,14:21.3,,1,Ivana Mayová,80,LIAZ Jablonec n. N.,Praha,7.2.1998
7,14:24.5,,3,Adéla Frydrychová,95,AC Česká Lípa,Praha,12.2.2012
8,14:30.3,,1,Jitka Hipmannová,78,USK Praha,Praha,25.2.1995
9,14:33.7,,3,Pavla Choděrová,80,USK Praha,Praha,12.2.2012
10,14:38.7,,3,Hana Lukšíčková,70,VŠ Praha,Praha,6.2.1988
11,14:42.6,,1,Petra Lexová,75,Slezan Opava,Ostrava,30.1.1994
12,14:56.5,,,Helena Pospíšilová,82,AC Praha 1890,Erfurt,
13,15:03.6,,1,Tamara Heroldová,77,USK Praha,Praha,24.2.1996
14,15:07.4,,4,Linda Vítová,93,USK Praha,Praha,12.2.2012
15,15:07.5,,3,Jana Slesinská,74,Lokomotiva Děčín,Praha,20.2.1993
16,15:09.5,,1,Veronika Jánošíková,98,AK Šternberk,Praha,12.2.2017
17,15:15.5,,1,Lucie Nedomová,78,Sokol Bílovice,Praha,8.2.1997
18,15:16.9,,2,Barbora Bohatá,85,Slezan Frýdek-Místek,Praha,24.2.2001
19,15:17.6,,1,Tereza Korvasová,96,USK Praha,Praha,10.2.2015
20,15:20.2,,1,Lucie Pelantová,86,AC Praha 1890,Praha,12.2.2005
21,13:44.8,,1,Ivana Mayová,80,LIAZ Jablonec n. N.,Jablonec n. N.,
22,13:55.4,,3,Barbora Dibelková,83,USK Praha,Jablonec n. N.,15.1.2000
23,13:56.6,,6,Hana Lukšíčková,70,VŠ Praha,Jablonec n. N.,28.1.1989
24,14:22.8,,2,Tamara Heroldová,77,USK Praha,Jablonec n. N.,
25,14:24.1,,2,Pavla Choděrová,80,USK Praha,Jablonec n. N.,
26,15:06.8,,2,Michaela Cvechová,75,AC Slovan Liberec,Jablonec n. N.,20.2.1994
27,15:10.3,,6,Lucie Nedomová,78,Sokol Bílovice,Jablonec n. N.,
28,15:17.1,,7,Žaneta Peřinová,80,SKP Nymburk,Jablonec n. N.,
,,,,,,,,
Hala-Dorostenky-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,7.46,,1,Veronika Paličková,97,AK Hodonín,Praha,23.2.2013
2,7.49,,2A,Nikola Bendová,99,PSK Olymp Praha,Linz,12.2.2016
3,7.5,,1,Milena Tebichová,62,RH Praha,Sofia,4.3.1979
4,7.54,,1,Anna  Kerbachová ,0,Atletika Jižní Město ,Jablonec n. N.,28.2.2015
5,7.55,,1,Martina Černochová,94,AK PSK Zlín,Praha,26.2.2011
6,7.56,,1=r1,Štěpánka Klapáčová,78,AK Škoda Plzeň,Jablonec n. N.,29.1.1994
7,7.58,,4A,Naděžda Tomšová,71,Spartak Soběslav,Jablonec n. N.,20.2.1988
8,7.58,,1,Adéla Novotná,3,LIAZ Jablonec n. N.,Ostrava,3.3.2018
9,7.59,,2r.,Hana Benešová,75,Slavoj Čáslav,Wien,8.2.1992
10,7.6,,2r1,Emily Gerulová,97,SSK Vítkovice,Bratislava,9.2.2013
11,7.61,,1,Pavlína Sýkorová,74,Slavia IPS Praha,Jablonec n. N.,17.2.1990
12,7.63,,2r1,Kateřina Vávrová,98,AC Sl. Sl. Uh. Hradiště,Bratislava,18.1.2014
13,7.63,,6r2,Zdeňka Seidlová,97,AC Vysoké Mýto,Praha,25.2.2014
14,7.64,,1A,Lucie Martínková,85,ŠAK SG Jablonec n. N.,Praha,23.2.2002
15,7.64,,2,Kristýna Kobiánová,95,SK ZŠ Jeseniova Praha,Praha,26.2.2011
16,7.67,,2r1,Ilona Procházková,71,RH Č. Budějovice,Jablonec n. N.,20.2.1988
17,7.67,,1,Linda Hettlerová,1,AK Škoda Plzeň,Ostrava,24.2.2018
18,7.68,,1A,Lenka Ficková,82,ŠAK Chrudim,Praha,27.2.1999
19,7.68,,1,Klára Kolomazníková,90,LIAZ Jablonec n. N.,Praha,17.2.2007
20,7.69,,1A,Kateřina Čechová,88,AC Mor. Slavia Brno,Jablonec n. N.,1.3.2003
21,7.71,,1,Lucie Domská,93,TJ Šumperk,Praha,20.2.2010
22,7.71,,1b1,Helena Jiranová,95,Sokol Kolín,Praha,14.1.2012
23,7.71,,2,Tereza Elena Šínová,1,Atletika Jižní Město,Ostrava,18.2.2017
24,7.71,,1r2,Eva Kubíčková,3,AK Olomouc,Ostrava,3.3.2018
,,,,,,,,
Hala-Dorostenky-200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,23.85,,2,Barbora Šplechtnová,2,PSK Olymp Praha,Ostrava,17.2.2019
2,24.03,,1b2,Hana Benešová,75,Slavoj Čáslav,Wien,1.2.1992
3,24.23,,1r1,Naděžda Tomšová,71,Spartak Soběslav,Praha,6.2.1988
4,24.23,,3A,Štěpánka Klapáčová,78,AK Škoda Plzeň,Praha,26.2.1995
5,24.27,,2,Linda Hettlerová,1,AK Škoda Plzeň,Ostrava,25.2.2018
6,24.35,,1,Anna  Kerbachová ,0,Atletika Jižní Město ,Praha,21.2.2016
7,24.37,,4,Nikola  Bendová,99,PSK Olymp Praha,Ostrava,28.2.2016
8,24.55,,2A,Zuzana Peichlová,79,AC Pardubice,Praha,25.2.1996
9,24.6,,1b1,Lenka Ficková,82,ŠAK Chrudim,Praha,7.2.1999
10,24.61,,2b2,Jana Sajdoková,87,TŽ Třinec,Eaubonne,29.2.2004
11,24.68,,1,Veronika Paličková,97,AK Hodonín,Praha,24.2.2013
12,24.68,,1,Kateřina  Vávrová ,98,AC Sl. S. Uh.Hradiště, Praha ,15.2.2015
13,24.69,,1,Zdeňka Seidlová,97,AC Vysoké Mýto,Praha,23.2.2014
14,24.83,,3r2,Adéla Novotná,3,LIAZ Jablonec n. N.,Ostrava,17.2.2019
15,24.85,,2,Tereza Vokálová,98,LIAZ Jablonec n. N.,Praha,23.2.2014
16,24.86,,1A,Denisa Ščerbová,86,SSK Vítkovice,Praha,24.2.2002
17,24.87,,1,Klára Kolomazníková,90,LIAZ Jablonec n. N.,Praha,18.2.2007
18,24.88,,1,Kateřina Bartakovičová,0,AC Pardubice,Ostrava,19.2.2017
19,24.9,,2r2,Barbora Hůlková,1,LIAZ Jablonec n. N.,Praha,18.2.2018
20,24.93,,2b1,Nikoleta Jíchová,0,ASK Slavia Praha,Praha,5.2.2017
21,24.93,,2b1,Ester Bendová,3,PSK Olymp Praha,Praha,3.2.2019
22,24.97,,3b1,Kateřina Čechová,88,AC Mor. Slavia Brno,Wien,22.2.2003
23,24.99,,1b2,Lucie  Krupařová,99,AK Olymp Brno,Praha,16.2.2016
24,25.01,,1,Kristýna Kobiánová,95,ASK Slavia Praha,Praha,19.2.2012
25,25.01,,2,Andrea Školová,96,AK Škoda Plzeň,Praha,19.2.2012
,,,,,,,,
Hala-Dorostenky-400 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,54.2,,2,Barbora  Malíková,1,TJ Sokol Opava,Praha,26.2.2017
2,54.77,,2,Zdeňka Seidlová,97,AC Vysoké Mýto,Praha,16.2.2014
3,55.43,,1,Lucie  Krupařová,99,AK Olymp Brno,Praha,
4,55.47,,4,Lada  Vondrová,99,Hvězda Pardubice,Ostrava,28.2.2016
5,56.02,,1A,Zuzana Hejnová,86,LIAZ Jablonec n. N.,Praha,24.2.2002
6,56.09,,MS,Pavla Štoudková,3,AK Olymp Brno,Praha,20.1.2019
7,56.26,,1B,Dana Vaňková,79,Sokol Č. Budějovice,Praha,25.2.1996
8,56.29,,2A,Jana Mrovcová,67,VOKD Poruba,Praha,6.2.1983
9,56.32,,1b3,Klára Pecharová,68,Sparta ČKD Praha,Budapest,20.2.1985
10,56.48,,3,Jana Slavíková,97,AC Čáslav,Praha,16.2.2014
11,56.54,,2r1,Ludmila Formanová,74,Slavoj Čáslav,Praha,23.2.1991
12,56.59,,1A,Barbora Dostálová,75,SK SŠ Brno,Praha,2.2.1992
13,56.69,,1,Dominika Krupařová,97,PSK Olymp Praha,Praha,23.2.2014
14,56.75,,1r2,Andrea Chrzanowská,66,RH Praha,Praha,26.2.1983
15,56.82,,1,Kateřina Dlabajová,1,AK Olymp Brno,Ostrava,25.2.2018
16,56.85,,2b1,Anna Kozlová,1,AC Čáslav,Ostrava,3.2.2018
17,56.89,,1,Tereza  Jonášová ,98,AK ŠKODA Plzeň ,Praha,15.2.2015
18,57.02,,3,Tereza  Škodová ,99,SK Nové Město nad Metují ,Praha,
19,57.1,,2,Jana Reissová,96,AK Škoda Plzeň,Praha,24.2.2013
20,57.14,,1r3,Denisa Folková,1,AC Jablonec n. N.,Ostrava,24.2.2018
21,57.23,,1A,Nikol Habrová,79,AC Havířov,Ostrava,11.2.1996
22,57.24,,2A,Gabriela Proroková,86,ASK Slavia Praha,Praha,24.2.2002
23,57.25,,3,Jitka Novosadová,2,AC Čáslav,Ostrava,25.2.2018
24,57.27,,1,Marcela Gorecká,88,AK Zlín,Praha,13.2.2005
25,55.11,,1,Alena Pekárková,64,LIAZ Jablonec n. N.,Jablonec n. N.,15.2.1981
26,56.62,,2A,Yveta Pořízková,73,Zbrojovka Brno,Jablonec n. N.,18.2.1990
27,56.69,,2A,Renata Černochová,65,TJ Vítkovice,Jablonec n. N.,28.2.1982
28,56.72,,3,Šárka Vojtášková,62,LIAZ Jablonec n. N.,Jablonec n. N.,26.2.1978
29,56.78,,1A,Marcela Orlová,69,Slávia Kroměříž,Jablonec n. N.,17.2.1985
30,56.82,,1,Dana Pohořelá,69,LIAZ Jablonec n. N.,Jablonec n. N.,18.1.1986
31,56.94,,2B,Jana Ševčíková,66,Spartak Ústí n. L.,Jablonec n. N.,20.2.1983
32,56.99,,1A,Miluše Morávková,79,ŠAK SG Jablonec n. N.,Jablonec n. N.,11.2.1996
33,57.15,,2A,Jana Pechmanová,67,Dynamo ZČE Plzeň,Jablonec n. N.,12.2.1984
34,57.26,,3A,Barbara Rycková,67,TJ Vítkovice,Jablonec n. N.,12.2.1984
,,,,,,,,
Hala-Dorostenky-800 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,02:08.8,,2,Andrea Šuldesová,75,Lokomotiva Břeclav,Praha,16.2.1992
2,02:09.0,,3,Veronika Plesarová,84,AC TJ Jičín,Praha,18.2.2001
3,02:09.1,,3,Romana Sanigová,75,LIAZ Jablonec n. N.,Praha,16.2.1992
4,02:10.8,,4,Eva Kasalová,76,AC Start Karlovy Vary,Praha,21.2.1993
5,02:11.0,,5b1,Klára Kováříková,97,AK Škoda Plzeň,Wien,8.2.2014
6,02:11.1,,6,Pavla Štoudková,3,AK Olymp Brno,Ostrava,17.2.2019
7,02:11.7,,2,Lada  Vondrová,99,Hvězda Pardubice,Praha,7.2.2016
8,02:11.9,,1,Petra Drajzajtlová,73,Agro Bohunice,Ostrava,14.1.1990
9,02:12.0,,1,Denisa Folková,1,AC Jablonec n. N.,Ostrava,25.2.2018
10,02:12.1,,1,Eliška Nerudová,97,AK Olomouc,Praha,24.2.2013
11,02:12.3,,1,Michaela  Červínová,99,ASK Lovosice,Praha,23.1.2016
12,02:12.5,,2,Natálie Kolajová,97,AK Hodonín,Praha,24.2.2013
13,02:12.6,,1r1,Anežka Drahotová,95,USK Praha,Praha,18.2.2012
14,02:12.7,,1,Milena Sivková,60,VŽKG Vítkovice,Ostrava,12.3.1977
15,02:12.9,,1,Zuzana Porubčanová,2,ASK ELNA Počerady,Praha,20.1.2018
16,02:13.2,,1,Gabriela Chytrová,77,TŽ Třinec,Ostrava,20.2.1994
17,02:13.4,,4,Karolína Sasynová,2,TJ TŽ Třinec,Ostrava,12.2.2019
18,02:13.8,,4r2,Sylva Škabrahová,91,AK Hodonín,Praha,23.2.2008
19,02:13.8,,5,Hana Borová,4,SSK Vítkovice,Ostrava,12.2.2019
20,02:13.8,,1,Anna Filičková,62,Slavia Havířov,Ostrava,4.2.1979
21,02:13.8,,1,Pavla Stojaspalová,67,Slavia Havířov,Praha,7.2.1982
22,02:13.9,,6,Ludmila Marvánová,64,Zbrojovka Brno,Budapest,3.2.1981
23,02:13.9,,2b1,Pavlína Vondrková,81,Sokol Č. Budějovice,Praha,21.1.1998
24,02:14.0,,1,Klára Fuksová,71,LIAZ Jablonec n. N.,Praha,31.1.1988
25,02:14.2,,1,Věra Brücknerová,69,Zbrojovka Brno,Praha,2.2.1986
26,02:09.3,,4,Klára Fuksová,71,LIAZ Jablonec n. N.,Jablonec n. N.,21.2.1988
27,02:12.0,,1,Ludmila Marvánová,64,Zbrojovka Brno,Jablonec n. N.,14.2.1981
28,02:12.6,,3r2,Valerie Kondačová,68,Zbrojovka Brno,Jablonec n. N.,9.2.1985
29,02:12.9,,2,Helena Müllerová,62,LIAZ Jablonec n. N.,Jablonec n. N.,11.2.1979
30,02:13.6,,3,Lenka Podlešáková,67,VŠ Praha,Jablonec n. N.,19.2.1984
31,02:13.9,,5,Jitka Cermanová,70,LIAZ Jablonec n. N.,Jablonec n. N.,9.2.1986
,,,,,,,,
Hala-Dorostenky-1500 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,04:27.0,,2,Petra Drajzajtlová,73,Agro Bohunice,Praha,10.2.1990
2,04:30.9,,1,Iva Jurková,66,Slov. Sl. Uh. Hradiště,Praha,27.2.1983
3,04:31.5,,5,Lada Brázdilová,78,AK Kroměříž,Wien,18.2.1995
4,04:32.3,,2,Renata Prouzová,66,ODPM Náchod,Praha,27.2.1983
5,04:34.0,,2,Anežka Drahotová,95,USK Praha,Praha,26.2.2012
6,04:35.5,,1,Julia-Anna Lily Bell,1,SK Spartak Praha 4,Ostrava,19.2.2017
7,04:36.3,,4,Karolína Sasynová,2,TJ TŽ Třinec,Ostrava,17.2.2019
8,04:36.5,,1,Anna Málková,1,SK Jeseniova,Ostrava,25.2.2018
9,04:36.6,,1,Lucie Křížová,87,Olympia Bruntál,Bratislava,9.2.2003
10,04:37.0,,2,Adéla Hluchá,1,Sokol Opava,Ostrava,25.2.2018
11,04:37.5,,2,Simona Vrzalová,88,TŽ Třinec,Praha,22.2.2004
12,04:37.8,,5,Eva Tománková,84,TJ Nová Včelnice,Praha,17.2.2001
13,04:38.5,,2,Daniela Litošová,88,ASK Slavia Praha,Praha,15.2.2004
14,04:38.8,,5b1,Anna Zemaníková,2,Slezan Frýdek-Místek,Ostrava,20.1.2018
15,04:39.1,,2,Veronika Novotná,0,SK Sporting Příbram,Ostrava,19.2.2017
16,04:39.2,,3,Hana Pechová,87,AC Junior Brno,Praha,15.2.2004
17,04:39.2,,7,Pavlína Vondrková,81,Sokol Č. Budějovice,Praha,15.2.1998
18,04:39.5,,1,Gabriela Hnílková,75,Slezan Opava,Praha,2.2.1992
19,04:39.7,,1,Irena Petříková,83,VSK Univerzita Brno,Praha,20.2.2000
20,04:39.7,,1,Pavla Štoudková,3,ASK Blansko,Ostrava,14.1.2018
21,04:39.8,,2,Diana Mezuliáníková,92,AK Škoda Plzeň,Praha,3.2.2009
22,04:39.9,,1,Valerie Kondačová,68,Zbrojovka Brno,Praha,3.2.1985
23,04:39.9,,3,Eliška Surmová,0,SSK Vítkovice,Ostrava,19.2.2017
24,04:40.2,,1,Milena Sivková,60,VŽKG Vítkovice,Ostrava,27.2.1977
25,04:41.0,,2,Lenka Všetečková,84,Sokol Č. Budějovice,Praha,20.2.2000
26,04:30.1,,3,Kateřina Čapounová,70,LIAZ Jablonec n. N.,Jablonec n. N.,8.2.1987
,,,,,,,,
Hala-Dorostenky-3000 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,09:48.2,,2,Lada Brázdilová,78,AK Kroměříž,Praha,25.2.1995
2,09:48.7,,2,Radka Pátková,71,Sp. N. Město n. Met.,Praha,6.2.1988
3,09:51.2,,6,Alice  Prokešová,99,AK Olymp Brno,Ostrava,27.2.2016
4,09:53.3,,4,Lenka Všetečková,84,Sokol Č. Budějovice,Praha,12.2.2000
5,09:55.2,,2,Lucie Křížová,87,Olympia Bruntál,Eaubonne,29.2.2004
6,09:58.3,,2,Irena Petříková,83,VSK Univerzita Brno,Praha,19.2.2000
7,09:58.6,,4,Adéla Koláčková,1,AK Olymp Brno,Praha,17.2.2018
8,09:59.0,,7,Anežka Drahotová,95,USK Praha,Praha,19.2.2011
9,10:00.6,,6,Tereza Novotná,92,Sokol Hradec Králové,Praha,21.2.2009
10,10:00.8,,2,Hana Pechová,87,AC Junior Brno,Praha,14.2.2004
11,10:04.5,,1,Pavlína Vondrková,81,Sokol Č. Budějovice,Praha,7.2.1998
12,10:05.4,,1,Gabriela Hnílková,75,Slezan Opava,Ostrava,22.2.1992
13,10:10.9,,1,Lucie Sekanová,89,Sokol Č. Budějovice,Praha,15.1.2006
14,10:12.4,,1,Sylvie  Štiglerová,99,SSK Vítkovice,Praha,20.2.2016
15,10:12.7,,2,Ilona Tlustošová,81,Žďas Žďár n. S.,Praha,7.2.1998
16,10:17.0,,2,Bára  Stýblová,99,Lokomotiva Beroun,Praha,20.2.2016
17,10:17.7,,1,Julia-Anna Lily Bell,1,USK Praha,Praha,23.1.2018
18,10:18.1,,1,Tereza Korvasová,96,AK Hodonín,Praha,23.2.2013
19,10:20.6,,1,Jana Cieslarová,71,TŽ Třinec,Ostrava,24.1.1988
20,10:20.8,,1,Helena Volná,80,SK Železárny Prostějov,Praha,8.2.1997
21,10:22.9,,13,Olga Skarková,77,LOT Třinec,Praha,20.2.1993
22,10:23.0,,2,Andrea Musilová,78,ARC Brno,Ostrava,13.2.1994
,,,,,,,,
Hala-Dorostenky-60 m př.,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,8.24,,1,Anna  Kerbachová ,0,Atletika Jižní Město ,Ostrava,18.2.2017
2,8.28,,2,Markéta  Štolová ,0,VTŽ Chomutov ,Ostrava,18.2.2017
3,8.39,,1,Tereza Vokálová,98,LIAZ Jablonec n. N.,Praha,22.2.2014
4,8.41,,2A,Nikoleta Jíchová,0,ASK Slavia Praha,Praha,4.2.2017
5,8.41,,1r1,Barbara Píchalová,2,AK Škoda Plzeň,Praha,3.2.2018
6,8.44,,2,Sára Zámečníková,1,AC Pardubice,Ostrava,24.2.2018
7,8.46,,1,Karolina Hlavatá,94,SK ZŠ Jeseniova Praha,Praha,26.2.2011
8,8.48,,1b3,Nikola Bendová,99,PSK Olymp Praha,Praha,16.2.2016
9,8.48,,2,Jana  Novotná,99,AK Olymp Brno,Praha,20.2.2016
10,8.49,,3,Pavlína  Minářová,99,Jiskra Ústí n. O.,Praha,20.2.2016
11,8.49,,P,Tereza Elena Šínová,1,Atletika Jižní Město,Praha,9.2.2018
12,8.49,,1b1,Tereza Babická,3,Sokol Č. Budějovice,Praha,8.2.2019
13,8.5,,2,Veronika Janíčková,98,Spartak Třebíč,Praha,22.2.2014
14,8.51,,1,Tereza Semecká,98,Dukla Praha,Praha,1.2.2014
15,8.55,,1,Nikola Ogrodníková,90,SSK Vítkovice,Praha,17.2.2007
16,8.55,,4,Barbora Šplechtnová,2,PSK Olymp Praha,Ostrava,24.2.2018
17,8.55,,1b1,Ester Bendová,3,PSK Olymp Praha,Praha,22.1.2019
18,8.56,,1A,Denisa Ščerbová,86,SSK Vítkovice,Praha,23.2.2002
19,8.57,,1A,Jana Petříková,67,ZVVZ Milevsko,Jablonec n. N.,27.2.1983
20,8.57,,2,Lucie Koudelová,94,AC Sl. Sl. Uh. Hradiště,Praha,26.2.2011
21,8.57,,5,Andrea Zabloudilová,1,AK Olymp Brno,Ostrava,24.2.2018
22,8.6,,1,Veronika Šádková,96,SSK Vítkovice,Praha,23.2.2013
23,8.6,,P,Adéla Luzarová,1,SSK Vítkovice,Ostrava,13.1.2018
24,8.61,,1r3,Annemarie Skálová,96,USK Praha,Praha,23.2.2013
25,8.62,,2,Jana Sotáková,93,ASK Blansko,Praha,20.2.2010
26,8.63,,1,Milena Tebichová,62,RH Praha,Sofia,4.3.1979
27,8.63,,1,Anna Zekuciová,95,MDDM Ostrov,Praha,18.2.2012
,,,,,,,,
Hala-Dorostenky-4x200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:41.8,,1b1,LIAZ Jablonec n. N. ,,,Ostrava,25.2.2018
2,01:42.1,,2b1,AK Škoda Plzeň ,,,Ostrava,25.2.2018
3,01:42.4,,1b1,ASK Slavia Praha ,,,Ostrava,19.2.2017
4,01:42.6,,1b1,Dukla Praha ,,,Praha,23.2.2014
5,01:43.0,,2b1,SK ZŠ Jeseniova ,,,Praha,5.2.2017
6,01:43.5,,2b1,PSK Olymp Praha ,,,Praha,21.2.2010
7,01:44.3,,1b2,Atletika Stará Boleslav ,,,Ostrava,19.2.2017
8,01:44.5,,1b4,Lokomotiva Beroun ,,,Ostrava,25.2.2018
9,01:44.6,,3b1 ,AK Olymp Brno ,,,Praha,15.2.2015
10,01:44.9,,2b2,Sokol SG Plzeň-Petřín ,,,Ostrava,19.2.2017
11,01:45.0,,3b1,Atletika Jižní Město ,,,Ostrava,19.2.2017
,,,,,,,,
Hala-Dorostenky-pětiboj h,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,4130,,1,Tereza Elena Šínová,1,Atletika Jižní Město,Praha,9.2.2018
2,4114,,1,Anna Kerbachová,0,Atletika Jižní Město ,Praha,12.2.2016
3,4081,,1,Jana  Novotná ,99,AK Olymp Brno ,Praha,12.2.2016
4,4060,,1,Denisa Ščerbová,86,SSK Vítkovice,Praha,21.2.2003
5,3988,,2,Zuzana Hejnová,86,LIAZ Jablonec n. N.,Praha,21.2.2003
6,3936,,1,Nikola Ogrodníková,90,SSK Vítkovice,Praha,10.2.2007
7,3910,,1,Marie Burešová,85,A.C. Sparta Praha,Praha,10.2.2002
8,3881,,2,Tereza  Vokálová ,98,LIAZ Jablonec n. N. ,Praha,6.2.2015
9,3870,,2,Sára Zámečníková,1,AC Pardubice,Praha,9.2.2018
10,3867,,1,Eliška Klučinová,88,A.C. Tepo Kladno,Praha,25.2.2005
11,3852,,1,Kateřina Cachová,90,SSK Vítkovice,Praha,10.2.2006
12,3851,,1,Daniela Volná,2,AC TJ Jičín,Praha,8.2.2019
13,3808,,1,Michaela Hrubá,98,JAC Brno,Praha,7.2.2014
14,3792,,1,Helena Vinařová,74,Dynamo ZČE Plzeň,Praha,24.2.1990
15,3759,,1,Vlasta Gruberová,76,Transporta Chrudim,Praha,27.2.1993
16,3754,,4,Hana Inderková,73,VŠ Praha,Praha,4.2.1989
17,3748,,2,Lenka Smoláková,73,Škoda Plzeň,Praha,24.2.1990
18,3740,,3,Pavla Jeremiášová,73,Škoda Plzeň,Praha,24.2.1990
19,3737,,2,Nikola Špinová,76,Sokol Č. Budějovice,Praha,27.2.1993
20,3729,,1,Hana Doleželová,79,TJ Valašské Meziříčí,Praha,3.3.1996
21,3715,,1,Barbora Zatloukalová,97,AK Olomouc,Praha,8.2.2013
22,3815,,1,Michaela Hejnová,80,AC Slovan Liberec,Jablonec n. N.,
,,,,,,,,
Hala-Dorostenky-koule 3kg,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,16.81,,1,Petra Jurášková,73,TJ Vítkovice,Ostrava,27.1.1990
2,16.2,,1,Eva Čerňanová,71,TJ Vítkovice,Ostrava,31.1.1987
3,16.13,,1,Kamila Hlaváčová,82,ŠAK SG Jablonec n. N.,Praha,28.2.1999
4,16.05,,2,Denisa  Přečková,0,SSK Vítkovice,Sassnitz,12.2.2017
5,15.86,,1,Lada Cermanová,98,LIAZ Jablonec n. N. ,Praha,15.2.2015
6,15.81,,1,Katrin Brzyszkowská,3,SSK Vítkovice,Ostrava,5.1.2019
7,15.62,,2,Pavlína Lancová,73,TŽ Třinec,Jablonec n. N.,17.2.1990
8,15.62,,1,Markéta Smoleňová,90,Sokol Opava,Olomouc,
9,15.49,,1,Markéta Červenková,91,Slavoj Stará Boleslav,Jablonec n. N.,27.2.2008
10,15.29,,1,Barbora Ungermannová,85,ŠAK SG Jablonec n. N.,Praha,24.2.2002
11,15.23,,1,Monika Čeleďová,78,AK Zlín,Ostrava,11.2.1995
12,15.23,,2,Lenka Ledvinová,85,Jiskra Domažlice,Praha,24.2.2002
13,15.02,,1,Andrea Květová,84,Sokol Stodůlky,Praha,25.2.2001
14,14.88,,1,Jitka Svatošová,75,AC Pardubice,Ostrava,22.2.1992
15,14.88,,1,Eva Studničková,79,AFK SKP Pardubice,Jablonec n. N.,4.2.1996
16,14.85,,1,Petra Holbová,88,LIAZ Jablonec n. N.,Praha,13.2.2005
17,14.84,,2,Jitka Machurová,88,A.C. Sparta Praha,Praha,13.2.2005
18,14.82,,1,Iveta Kudrnová,66,DPM Ostrov n. O.,Jablonec n. N.,
19,14.78,,1,Eliška Vinárková,96,Sokol Opava,Ostrava,
20,14.77,,3,Lenka Dlouhá,88,AK Most,Praha,13.2.2005
21,14.7,,3,Romana Březinová,73,TJ Vítkovice,Praha,3.2.1990
,,,,,,,,
Hala-Dorostenky-dálka,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,6.2,,2,Renata Staňová,67,LIAZ Jablonec n. N.,Jablonec n. N.,19.2.1984
2,6.19,,1,Denisa Ščerbová,86,SSK Vítkovice,Praha,23.2.2002
3,6.13,,2,Miroslava Kulišová,65,Zbrojovka Brno,Praha,13.2.1982
4,6.13,,2,Daniela Volná,2,AC TJ Jičín,Jablonec n. N.,19.1.2019
5,6.12,,1,Jitka Kubová,74,TJ Svitavy,Praha,9.2.1991
6,6.11,,1,Daniela Caldová,75,Lokomotiva Děčín,Praha,25.1.1992
7,6.11,,1,Veronika Šádková,96,SSK Vítkovice,Praha,17.2.2013
8,6.07,,2,Jitka Tesárková,65,LIAZ Jablonec n. N.,Jablonec n. N.,28.2.1982
9,6.04,,1,Vanda Nováková,58,Lokomotiva Olomouc,Jablonec n. N.,1.3.1975
10,6.04,,2,Eva Doležalová,79,Lokomotiva Břeclav,Praha,25.2.1996
11,6.01,,1,Tereza Elena Šínová,1,Atletika Jižní Město,Ostrava,24.2.2018
12,5.99,,1,Helena Vinařová,74,Dynamo ZČE Plzeň,Jablonec n. N.,17.2.1990
13,5.98,,1,Ivana Pohlová,52,LIAZ Jablonec n. N.,Jablonec n. N.,16.2.1969
14,5.98,,5,Vlasta Gruberová,76,Transporta Chrudim,Praha,16.2.1992
15,5.96,,2,Jitka Novobilská,63,TJ Krnov,Praha,23.2.1980
16,5.95,,1,Jana  Novotná,99,AK Olymp Brno,Praha,20.2.2016
17,5.94,,1,Veronika Navrátíková,83,TŽ Třinec,Praha,19.2.2000
18,5.94,,1,Emily Gerulová,97,SSK Vítkovice,Praha,23.2.2013
19,5.93,,1,Jarmila Nygrýnová,53,Škoda Plzeň,Jablonec n. N.,1.3.1970
20,5.93,,1,Květa Dobrovolná,63,Slovan Hodonín,Jablonec n. N.,17.2.1979
21,5.93,,P,Tereza Vokálová,98,LIAZ Jablonec n. N.,Praha,6.2.2015
22,5.93,,6,Linda Suchá,1,Sokol SG Plzeň-Petřín,Praha,17.2.2018
